year,date,stage,type,winner,miles,km,start,finish,winning_country,decade
1903,1903-07-01,1,plain stage,maurice garin,290.0,467.0,paris,lyon,fra,1900
1903,1903-07-05,2,mountain stage,hippolyte aucouturier,232.0,374.0,lyon,marseille,fra,1900
1903,1903-07-08,3,plain stage,hippolyte aucouturier,263.0,423.0,marseille,toulouse,fra,1900
1903,1903-07-12,4,plain stage,charles laeser,167.0,268.0,toulouse,bordeaux,sui,1900
1903,1903-07-13,5,plain stage,maurice garin,264.0,425.0,bordeaux,nantes,fra,1900
1903,1903-07-18,6,plain stage,maurice garin,293.0,471.0,nantes,paris,fra,1900
1904,1904-07-02,1,plain stage,maurice garin,290.0,467.0,montgeron,lyon,fra,1900
1904,1904-07-09,2,mountain stage,hippolyte aucouturier,232.0,374.0,lyon,marseille,fra,1900
1904,1904-07-13,3,plain stage,hippolyte aucouturier,263.0,424.0,marseille,toulouse,fra,1900
1904,1904-07-17,4,plain stage,lucien pothier,167.0,268.0,toulouse,bordeaux,fra,1900
1904,1904-07-20,5,plain stage,hippolyte aucouturier,264.0,425.0,bordeaux,nantes,fra,1900
1904,1904-07-23,6,plain stage,hippolyte aucouturier,293.0,471.0,nantes,paris,fra,1900
1905,1905-07-09,1,plain stage,louis trousselier,210.0,340.0,paris,nancy,fra,1900
1905,1905-07-11,2,mountain stage,hippolyte aucouturier,186.0,299.0,nancy,besançon,fra,1900
1905,1905-07-14,3,plain stage,louis trousselier,203.0,327.0,besançon,grenoble,fra,1900
1905,1905-07-16,4,mountain stage,hippolyte aucouturier,216.0,348.0,grenoble,toulon,fra,1900
1905,1905-07-18,5,plain stage,louis trousselier,119.0,192.0,toulon,nîmes,fra,1900
1905,1905-07-20,6,plain stage,jean-baptiste dortignacq,191.0,307.0,nîmes,toulouse,fra,1900
1905,1905-07-22,7,plain stage,louis trousselier,167.0,268.0,toulouse,bordeaux,fra,1900
1905,1905-07-24,8,plain stage,hippolyte aucouturier,160.0,257.0,bordeaux,la rochelle,fra,1900
1905,1905-07-26,9,plain stage,louis trousselier,163.0,263.0,la rochelle,rennes,fra,1900
1905,1905-07-28,10,plain stage,jean-baptiste dortignacq,104.0,167.0,rennes,caen,fra,1900
1905,1905-07-29,11,plain stage,jean-baptiste dortignacq,157.0,253.0,caen,paris,fra,1900
1906,1906-07-04,1,plain stage,emile georget,171.0,275.0,paris,lille,fra,1900
1906,1906-07-06,2,plain stage,rené pottier,250.0,400.0,douai,nancy,fra,1900
1906,1906-07-08,3,mountain stage,rené pottier,258.0,416.0,nancy,dijon,fra,1900
1906,1906-07-10,4,plain stage,rené pottier,193.0,311.0,dijon,grenoble,fra,1900
1906,1906-07-12,5,mountain stage,rené pottier,214.0,345.0,grenoble,nice,fra,1900
