year,stages,starters,finishers,miles,km
1903,6,60,21,1509.0,2428.0
1904,6,88,15,1509.0,2428.0
1905,11,60,24,1860.0,2994.0
1906,13,82,14,2881.0,4637.0
1907,14,93,33,2789.0,4488.0
1908,14,112,36,2794.0,4497.0
1909,14,150,55,2795.0,4498.0
1910,15,110,41,2942.0,4734.0
1911,15,84,28,3320.0,5343.0
1912,15,131,41,3286.0,5289.0
1913,15,140,25,3285.0,5287.0
1914,15,145,54,3340.0,5380.0
1919,15,69,10,3450.0,5560.0
1920,15,113,22,3419.0,5503.0
1921,15,123,38,3408.0,5485.0
1922,15,121,38,3340.0,5375.0
1923,15,139,48,3347.0,5386.0
1924,15,157,60,3371.0,5425.0
1925,18,130,49,3380.0,5440.0
1926,17,126,41,3570.0,5745.0
1927,24,142,39,3354.0,5398.0
1928,22,162,41,3403.0,5476.0
1929,22,155,60,3285.0,5286.0
1930,21,100,59,2996.0,4822.0
1931,24,81,35,3163.0,5091.0
1932,21,80,57,2783.0,4479.0
1933,23,80,40,2731.0,4395.0
1934,23,60,39,2780.0,4470.0
1935,21,93,46,2696.0,4338.0
1936,21,90,43,2760.0,4442.0
1937,20,98,46,2743.0,4415.0
1938,21,96,55,2917.0,4694.0
1939,18,79,49,2625.0,4224.0
1947,21,99,53,2884.0,4642.0
1948,21,120,44,3058.0,4922.0
1949,21,120,55,2988.0,4808.0
1950,22,116,51,2966.0,4773.0
1951,24,123,66,2910.0,4690.0
1952,23,122,78,3043.0,4898.0
1953,22,119,76,2781.0,4476.0
1954,23,110,69,2893.0,4656.0
1955,22,130,69,2793.0,4495.0
1956,22,120,88,2795.0,4498.0
1957,22,120,56,2901.0,4669.0
1958,24,120,78,2684.0,4319.0
1959,22,120,65,2708.0,4358.0
1960,21,128,81,2593.0,4173.0
1961,21,132,72,2732.0,4397.0
1962,22,149,94,2656.0,4274.0
1963,21,130,76,2571.0,4138.0
1964,22,132,81,2799.0,4504.0
1965,22,130,96,2602.0,4188.0
1966,22,130,82,2690.0,4329.0
1967,22,130,88,2970.0,4779.0
1968,22,110,63,2791.0,4492.0
1969,22,130,86,2558.0,4117.0
1970,23,150,100,2643.0,4254.0
1971,20,130,94,2242.0,3608.0
1972,20,132,88,2390.0,3846.0
1973,20,132,87,2540.0,4090.0
1974,22,130,105,2546.0,4098.0
1975,22,140,86,2500.0,4000.0
1976,22,130,87,2496.0,4017.0
1977,22,100,53,2545.0,4096.0
1978,22,110,78,2428.0,3908.0
1979,24,150,89,2339.0,3765.0
1980,22,130,85,2387.0,3842.0
1981,22,150,121,2332.0,3753.0
1982,21,169,125,2179.0,3507.0
1983,22,140,88,2367.0,3809.0
1984,23,170,124,2499.0,4021.0
1985,22,180,144,2553.0,4109.0
1986,23,210,132,2544.0,4094.0
1987,25,207,135,2629.0,4231.0
1988,22,198,151,2042.0,3286.0
1989,21,198,138,2041.0,3285.0
1990,21,198,156,2177.0,3504.0
1991,22,198,158,2432.0,3914.0
1992,21,198,130,2475.0,3983.0
1993,20,180,136,2308.0,3714.0
1994,21,189,117,2472.0,3978.0
1995,20,189,115,2259.0,3635.0
1996,21,197,129,2339.0,3765.0
1997,21,198,139,2450.0,3950.0
1998,21,189,96,2408.0,3875.0
1999,20,180,141,2291.0,3687.0
2000,21,197,127,2275.0,3662.0
2001,20,189,144,2149.0,3458.0
2002,20,189,153,2037.0,3278.0
2003,20,198,147,2129.0,3427.0
2004,20,188,147,2107.0,3391.0
2005,21,189,155,2087.0,3359.0
2006,21,176,139,2272.0,3657.0
2007,20,189,141,2220.0,3570.0
2008,21,180,144,2211.0,3559.0
2009,21,180,155,2149.0,3459.0
2010,20,197,170,2263.0,3642.0
2011,21,198,168,2130.0,3430.0
2012,20,198,153,2172.0,3496.0
2013,21,198,169,2115.0,3404.0
2014,21,198,164,2274.5,3660.5
2015,21,198,160,2088.0,3360.3
2016,21,198,174,2193.0,3529.0
2017,21,198,167,2200.0,3540.0
2018,21,176,145,2081.0,3349.0
2019,21,176,155,2092.0,3366.0
2020,21,176,146,2165.0,3484.0
2021,21,184,141,2121.6,3414.4
2022,21,176,135,2068.0,3328.0
