year,country,rider,team,stages_won,stages_led,height,weight,born,age
1903,france,maurice garin,la française,3,6,1.62,60.0,1871,32
1904,france,henri cornet,conte,1,3,1.86,62.0,1884,20
1905,france,louis trousselier,peugeot–wolber,5,10,1.86,62.0,1881,24
1906,france,rené pottier,peugeot–wolber,5,12,1.86,62.0,1879,27
1907,france,lucien petit-breton,peugeot–wolber,2,5,1.86,62.0,1882,25
1908,france,lucien petit-breton,peugeot–wolber,5,13,1.86,62.0,1882,26
1909,luxembourg,françois faber,alcyon–dunlop,6,13,1.78,88.0,1887,22
1910,france,octave lapize,alcyon–dunlop,4,3,1.86,62.0,1887,23
1911,france,gustave garrigou,alcyon–dunlop,2,13,1.86,62.0,1884,27
1912,belgium,odile defraye,alcyon–dunlop,3,13,1.86,62.0,1888,24
1913,belgium,philippe thys,peugeot–wolber,1,8,1.86,62.0,1889,24
1914,belgium,philippe thys,peugeot–wolber,1,15,1.86,62.0,1889,25
1919,belgium,firmin lambot,la sportive,1,2,1.86,62.0,1886,33
1920,belgium,philippe thys,la sportive,4,14,1.86,62.0,1889,31
1921,belgium,léon scieur,la sportive,2,14,1.86,62.0,1888,33
1922,belgium,firmin lambot,peugeot–wolber,0,3,1.86,62.0,1886,36
1923,france,henri pélissier,automoto–hutchinson,3,6,1.86,62.0,1889,34
1924,italy,ottavio bottecchia,automoto,4,15,1.86,62.0,1894,30
1925,italy,ottavio bottecchia,automoto–hutchinson,4,13,1.86,62.0,1894,31
1926,belgium,lucien buysse,automoto–hutchinson,2,8,1.86,62.0,1892,34
1927,luxembourg,nicolas frantz,alcyon–dunlop,3,14,1.86,62.0,1899,28
1928,luxembourg,nicolas frantz,alcyon–dunlop,5,22,1.86,62.0,1899,29
1929,belgium,maurice de waele,alcyon–dunlop,1,16,1.86,62.0,1896,33
1930,france,andré leducq,alcyon–dunlop,2,13,1.86,62.0,1904,26
1931,france,antonin magne,france,1,16,1.86,62.0,1904,27
1932,france,andré leducq,france,6,19,1.86,62.0,1904,28
1933,france,georges speicher,france,3,12,1.86,62.0,1907,26
1934,france,antonin magne,france,3,22,1.86,62.0,1904,30
1935,belgium,romain maes,belgium,3,21,1.86,62.0,1912,23
1936,belgium,sylvère maes,belgium,4,14,1.86,62.0,1909,27
1937,france,roger lapébie,france,3,4,1.86,62.0,1911,26
